# List of adjectives and their exclamation forms, used to transforme exclamative phrase.
جميل=ما أجمل|أجمِل ب
عالية=ما أعْلَى|أعْلُ ب
عريق=ما أعْرَقَ|أعْرِقْ ب
عريقة=ما أعْرَقَ|أعْرِقْ ب
عزيز=ما أعَزَّ|أعْزِزْ ب
عزيزة=ما أعَزَّ|أعْزِزْ ب
عسير=ما أَعْسَرَ|أَعْسِرْ ب
عسيرة=ما أَعْسَرَ|أَعْسِرْ ب
عظيم=ما أعْظَمَ|أعْظِمْ ب
عظيمة=ما أعْظَمَ|أعْظِمْ ب
عليم=ما أعْلَمَ|أعْلِمْ ب
عليمة=ما أعْلَمَ|أعْلِمْ ب
عميم=ما أَعَمَّ|أَعْمِمْ ب
عميمة=ما أَعَمَّ|أَعْمِمْ ب
عنيف=ما أعْنَفَ|أعْنِفْ ب
عنيفة=ما أعْنَفَ|أعْنِفْ ب
غال=ما أغْلَى|أغْلُ ب
غالب=ما أغْلَبَ|أغْلِبْ ب
غالبة=ما أغْلَبَ|أغْلِبْ ب
غالية=ما أغْلَى|أغْلُ ب
غزير=ما أَغْزَرَ|أَغْزِرْ ب
غزيرة=ما أَغْزَرَ|أَغْزِرْ ب
فاضل=ما أفْضَلَ|أفْضِلْ ب
فاضلة=ما أفْضَلَ|أفْضِلْ ب
فاكه=ما أفْكَهَ|أفْكِهْ ب
فاكهة=ما أفْكَهَ|أفْكِهْ ب
فخيم=ما أَفْخَمَ|أَفْخِمْ ب
فخيمة=ما أَفْخَمَ|أَفْخِمْ ب
فره=ما أَفْرَهَ|أَفْرِهْ ب
فرهة=ما أَفْرَهَ|أَفْرِهْ ب
فصيح=ما أْفْصَحَ|أْفْصِحْ ب
فصيحة=ما أْفْصَحَ|أْفْصِحْ ب
قادر=ما أقْدَرَ|أقْدِرْ ب
قادرة=ما أقْدَرَ|أقْدِرْ ب
قارئ=ما أقْرأَ|أقْرئْ ب
قارئة=ما أقْرأَ|أقْرئْ ب
قاس=ما أقْسَى|أقْسِ ب
قاسية=ما أقْسَى|أقْسِ ب
